"id" "host_is_superhost" "host_identity_verified" "room_type" "accommodates" "bathrooms" "bedrooms" "price"
17369268 "True" "False" "Entire home/apt" 2 1 0 110
17716612 "False" "True" "Entire home/apt" 10 2.5 4 350
18250766 "False" "False" "Private room" 1 1 1 100
18266409 "True" "True" "Entire home/apt" 4 1 1 160
18313275 "False" "True" "Entire home/apt" 7 2 3 300
18408837 "False" "True" "Entire home/apt" 3 1 1 95
18409620 "True" "True" "Entire home/apt" 2 1 1 66
18430634 "True" "False" "Entire home/apt" 4 1 2 175
18491600 "True" "True" "Entire home/apt" 3 1 1 85
18491674 "True" "True" "Entire home/apt" 3 1 1 148
18497873 "True" "False" "Entire home/apt" 2 1 1 150
18509560 "False" "False" "Entire home/apt" 7 2 4 350
18638163 "True" "True" "Entire home/apt" 2 1 0 113
18651789 "False" "True" "Entire home/apt" 2 1 0 120
19271432 "False" "True" "Entire home/apt" 16 2 5 475
19768466 "False" "False" "Entire home/apt" 8 3.5 3 550
19846504 "True" "False" "Entire home/apt" 4 2 2 182
19891890 "False" "True" "Entire home/apt" 2 1 1 70
20050709 "False" "False" "Private room" 2 1 1 75
20071314 "False" "False" "Private room" 2 1 1 75
20141183 "True" "True" "Private room" 2 1 1 80
20254813 "True" "True" "Entire home/apt" 6 2.5 4 150
20328571 "True" "True" "Entire home/apt" 3 1 1 110
20381725 "True" "True" "Entire home/apt" 16 4 7 799
20481127 "False" "True" "Shared room" 1 1 1 45
20572116 "True" "False" "Entire home/apt" 4 1 1 105
20638901 "False" "False" "Entire home/apt" 6 1 2 213
20750562 "False" "True" "Entire home/apt" 16 3 5 425
20774329 "True" "False" "Entire home/apt" 14 2.5 3 264
20935982 "False" "False" "Private room" 2 1 1 65
20961349 "False" "True" "Entire home/apt" 5 2 2 325
20962091 "False" "True" "Entire home/apt" 7 2 3 395
21011094 "False" "True" "Private room" 4 1 2 120
21014515 "False" "True" "Entire home/apt" 7 2 3 425
21015000 "False" "True" "Entire home/apt" 16 6 8 1650
21082007 "True" "False" "Private room" 1 1 1 75
21170317 "False" "False" "Entire home/apt" 10 3 5 425
21266027 "True" "True" "Entire home/apt" 2 1 1 95
21460781 "True" "False" "Entire home/apt" 2 1 1 75
21646493 "False" "True" "Entire home/apt" 4 1.5 2 200
21682649 "False" "True" "Private room" 2 1 1 65
21799017 "True" "True" "Entire home/apt" 5 1 2 250
22162238 "False" "True" "Private room" 2 1 0 60
22493797 "False" "False" "Entire home/apt" 4 1 0 161
22497982 "False" "True" "Private room" 2 1.5 1 60
22587024 "False" "True" "Entire home/apt" 2 1.5 1 78
23080440 "False" "True" "Entire home/apt" 12 3 4 475
23127965 "True" "True" "Entire home/apt" 4 1 1 134
23256472 "True" "False" "Entire home/apt" 4 1 1 98
23278753 "True" "False" "Private room" 2 1 1 54
23321478 "True" "False" "Entire home/apt" 14 3 6 649
23452327 "False" "False" "Entire home/apt" 4 1 0 233
23469069 "True" "True" "Entire home/apt" 3 1 0 80
23773281 "True" "False" "Entire home/apt" 2 1 1 129
23786099 "False" "False" "Entire home/apt" 4 1 2 175
24254138 "True" "True" "Entire home/apt" 4 1.5 2 169
24395100 "True" "False" "Entire home/apt" 14 3.5 7 550
24519640 "True" "False" "Entire home/apt" 4 1 1 130
24555437 "True" "True" "Entire home/apt" 4 1 1 150
24561301 "False" "True" "Entire home/apt" 4 1 2 90
24630096 "False" "False" "Entire home/apt" 5 1 2 202
24653260 "False" "False" "Entire home/apt" 4 1 1 182
24674282 "False" "False" "Entire home/apt" 2 1 0 95
24755524 "True" "True" "Entire home/apt" 6 1.5 2 190
25047285 "True" "False" "Entire home/apt" 4 1 1 106
25115867 "False" "True" "Entire home/apt" 3 1 1 59
25213896 "True" "False" "Entire home/apt" 4 1 2 200
25296669 "True" "True" "Entire home/apt" 4 1 1 109
25521162 "True" "False" "Entire home/apt" 9 3 3 623
25781184 "True" "False" "Entire home/apt" 5 1 2 150
25950747 "True" "True" "Entire home/apt" 2 1 1 70
26001483 "True" "False" "Entire home/apt" 6 1.5 2 345
26136412 "False" "False" "Entire home/apt" 2 1 1 150
26279366 "True" "True" "Entire home/apt" 6 2 3 250
26448115 "True" "False" "Entire home/apt" 8 1.5 3 450
26448460 "True" "False" "Entire home/apt" 4 1 1 150
26788913 "True" "True" "Entire home/apt" 4 1 1 149
26841053 "True" "False" "Entire home/apt" 6 1 3 260
27526987 "False" "True" "Entire home/apt" 4 1 1 100
